Date,Symbol,Open,High,Low,Close,Percent Change,Volume
2023-06-28,NEPSE,2193.51,2205.97,2146.06,2150.99,-1.62 %,"5,972,286,481.45"
2023-06-27,NEPSE,2132.61,2186.68,2132.48,2186.36,2.67 %,"5,476,287,740.48"
2023-06-26,NEPSE,2124.01,2154.86,2120.42,2129.42,0.55 %,"5,312,422,087.27"
2023-06-25,NEPSE,2057.37,2119.8,2057.37,2117.73,3.03 %,"6,490,412,665.89"
2023-06-22,NEPSE,2054.62,2074.38,2042.28,2055.53,0.23 %,"3,444,862,501.60"
2023-06-21,NEPSE,2067.21,2082.97,2043.84,2050.78,-0.68 %,"3,496,822,260.78"
2023-06-20,NEPSE,2093.56,2117.3,2057.03,2064.83,-1.27 %,"4,110,606,953.97"
2023-06-19,NEPSE,2097.53,2107.6,2075.21,2091.39,-0.14 %,"4,740,608,880.28"
2023-06-18,NEPSE,2045.06,2094.33,2037.9,2094.33,2.56 %,"4,869,184,016.02"
2023-06-15,NEPSE,2040.58,2050.03,2017.7,2042.07,0.25 %,"3,162,810,843.58"
2023-06-14,NEPSE,2020.15,2067.1,2015.19,2037.06,0.81 %,"5,017,807,682.80"
2023-06-13,NEPSE,1989.43,2034.8,1977.52,2020.64,1.72 %,"4,126,695,943.97"
2023-06-12,NEPSE,1984.3638,2003.25,1972.0,1987.87,0.39 %,"2,886,509,415.69"
2023-06-11,NEPSE,1941.52,1983.98,1941.24,1980.09,2.09 %,"3,454,344,563.91"
2023-06-08,NEPSE,1933.4,1947.45,1920.65,1939.61,0.38 %,"2,305,888,931.72"
2023-06-07,NEPSE,1929.16,1950.81,1928.13,1932.33,0.24 %,"2,368,815,635.92"
2023-06-06,NEPSE,1902.75,1927.66,1893.61,1927.65,1.35 %,"1,981,012,701.99"
2023-06-05,NEPSE,1922.13,1935.8,1899.54,1901.99,-0.91 %,"1,973,491,107.31"
2023-06-04,NEPSE,1866.35,1925.11,1865.73,1919.37,2.84 %,"1,656,340,391.57"
2023-06-01,NEPSE,1850.79,1877.0,1837.24,1866.34,0.89 %,"1,654,648,922.34"
