Date,Symbol,Open,High,Low,Close,Percent Change,Volume
2023-11-30,NEPSE,1874.24,1876.4,1851.32,1858.53,-0.96 %,"1,323,519,357.21"
2023-11-29,NEPSE,1901.75,1906.72,1872.05,1874.79,-1.04 %,"3,312,197.00"
2023-11-29,NEPSE,1894.79,1907.07,1871.93,1876.6,-0.94 %,"1,014,195,575.01"
2023-11-28,NEPSE,1896.4,1902.63,1885.23,1894.53,-0.11 %,"1,280,228,971.86"
2023-11-27,NEPSE,1909.97,1926.52,1889.71,1896.67,-0.59 %,"1,754,750,755.82"
2023-11-26,NEPSE,1859.24,1908.19,1852.67,1907.95,2.56 %,"2,011,763,358.52"
2023-11-23,NEPSE,1847.69,1864.59,1826.49,1860.2,0.53 %,"1,348,347,430.30"
2023-11-22,NEPSE,1830.11,1850.54,1816.4,1850.33,1.13 %,"1,087,098,495.59"
2023-11-21,NEPSE,1853.17,1853.87,1821.38,1829.65,-1.28 %,"950,479,583.91"
2023-11-20,NEPSE,1852.29,1873.34,1846.52,1853.48,0.07 %,"1,099,318,029.70"
2023-11-09,NEPSE,1864.4,1866.93,1847.85,1852.08,-0.63 %,"836,005,656.08"
2023-11-08,NEPSE,1858.11,1869.01,1851.19,1863.94,0.27 %,"782,743,264.94"
2023-11-07,NEPSE,1848.06,1864.85,1847.1,1858.76,0.60 %,"996,586,291.90"
2023-11-06,NEPSE,1826.68,1850.58,1824.56,1847.54,1.16 %,"938,929,040.59"
2023-11-05,NEPSE,1846.75,1846.77,1817.76,1826.23,-1.16 %,"972,367,278.92"
2023-11-02,NEPSE,1858.27,1859.48,1842.73,1847.7,-0.58 %,"964,477,711.41"
2023-11-01,NEPSE,1864.19,1872.19,1853.49,1858.56,-0.31 %,"812,089,291.31"
