Date,Symbol,Open,High,Low,Close,Percent Change,Volume
2021-10-31,NEPSE,2785.95,2838.09,2775.54,2837.62,1.82 %,"7,823,226,492.71"
2021-10-28,NEPSE,2768.88,2783.77,2746.23,2782.17,0.29 %,"5,395,268,627.81"
2021-10-27,NEPSE,2753.4,2806.71,2716.99,2769.13,0.56 %,"6,612,648,839.92"
2021-10-26,NEPSE,2678.86,2751.41,2678.01,2751.07,2.79 %,"6,318,340,931.64"
2021-10-25,NEPSE,2588.75,2672.25,2588.24,2672.25,3.29 %,"4,308,895,574.87"
2021-10-24,NEPSE,2557.0,2587.85,2545.5,2584.53,1.06 %,"2,773,420,134.90"
2021-10-21,NEPSE,2573.05,2585.79,2542.65,2556.96,-0.70 %,"2,635,390,459.84"
2021-10-20,NEPSE,2522.2,2590.89,2522.0,2571.66,2.22 %,"2,679,028,155.23"
2021-10-19,NEPSE,2588.24,2588.37,2481.85,2510.73,-2.99 %,"3,777,793,666.35"
2021-10-18,NEPSE,2656.04,2656.04,2582.26,2587.45,-2.73 %,"2,966,899,790.82"
2021-10-17,NEPSE,2644.42,2670.34,2616.4,2656.97,0.67 %,"1,497,375,370.87"
2021-10-11,NEPSE,2667.59,2670.34,2616.4,2639.38,-0.77 %,"3,639,468,092.85"
2021-10-10,NEPSE,2687.19,2720.36,2654.35,2662.58,-0.81 %,"4,498,043,580.96"
2021-10-06,NEPSE,2614.74,2681.39,2614.52,2681.11,2.47 %,"4,500,658,141.61"
2021-10-05,NEPSE,2569.79,2620.32,2569.78,2612.65,1.43 %,"2,996,819,683.01"
2021-10-04,NEPSE,2577.36,2596.67,2542.09,2570.81,-0.47 %,"3,627,799,935.40"
2021-10-03,NEPSE,2637.36,2640.84,2572.96,2577.5,-2.23 %,"4,113,814,245.94"
