Date,Symbol,Open,High,Low,Close,Percent Change,Volume
2021-09-30,NEPSE,2667.45,2687.59,2629.95,2633.42,-1.33 %,"3,700,029,507.49"
2021-09-29,NEPSE,2616.78,2666.19,2578.76,2665.94,1.82 %,"5,028,555,092.03"
2021-09-28,NEPSE,2683.6,2695.35,2602.19,2615.4,-2.92 %,"5,745,488,178.57"
2021-09-27,NEPSE,2762.6,2769.79,2678.14,2685.42,-2.79 %,"5,120,973,095.93"
2021-09-26,NEPSE,2836.36,2846.29,2756.33,2758.48,-2.20 %,"6,500,117,780.43"
2021-09-23,NEPSE,2833.52,2883.13,2804.16,2819.66,0.10 %,"7,726,371,029.49"
2021-09-22,NEPSE,2719.91,2819.03,2719.89,2816.95,3.82 %,"6,179,300,157.62"
2021-09-21,NEPSE,2693.42,2766.45,2613.87,2712.07,0.37 %,"7,364,798,651.77"
2021-09-20,NEPSE,2817.98,2821.13,2696.81,2698.25,-4.05 %,"8,493,401,009.27"
2021-09-16,NEPSE,2889.21,2889.21,2795.24,2812.39,-2.81 %,"9,033,900,623.09"
2021-09-15,NEPSE,2933.23,2936.89,2881.53,2889.03,-1.44 %,"5,358,097,250.54"
2021-09-14,NEPSE,2950.37,2964.54,2915.62,2929.29,-0.73 %,"5,195,295,443.22"
2021-09-13,NEPSE,2962.81,2984.31,2939.79,2947.7,-0.01 %,"9,290,554,155.32"
2021-09-12,NEPSE,2887.5,2947.5,2887.47,2947.42,2.44 %,"9,440,035,243.87"
2021-09-09,NEPSE,2880.55,2912.38,2865.96,2875.98,0.02 %,"7,050,770,070.49"
2021-09-08,NEPSE,2940.91,2940.91,2873.64,2876.59,-2.09 %,"6,646,623,426.91"
2021-09-07,NEPSE,2999.62,3004.23,2912.99,2936.61,-1.52 %,"7,495,812,161.43"
2021-09-06,NEPSE,2816.93,2981.27,2804.53,2980.79,5.73 %,"9,826,222,806.90"
2021-09-05,NEPSE,2928.8,2929.32,2779.03,2818.73,-3.77 %,"11,240,391,044.63"
2021-09-02,NEPSE,2976.18,2994.35,2915.98,2926.74,-1.66 %,"9,505,970,822.34"
2021-09-01,NEPSE,2977.29,3019.69,2961.0,2977.02,0.71 %,"9,351,799,654.65"
