Date,Symbol,Open,High,Low,Close,Percent Change,Volume
2021-06-30,NEPSE,2835.67,2844.19,2782.01,2823.88,-1.00 %,"5,838,551,435.49"
2021-06-29,NEPSE,2880.34,2890.16,2823.21,2828.0,-1.65 %,"6,726,361,869.27"
2021-06-28,NEPSE,2898.42,2901.99,2861.55,2871.6969,0.15 %,"7,725,594,965.50"
2021-06-27,NEPSE,2856.05,2883.02,2834.42,2870.18,0.96 %,"7,167,432,728.00"
2021-06-24,NEPSE,2871.66,2873.76,2833.06,2843.0,-0.58 %,"7,033,603,739.50"
2021-06-23,NEPSE,2939.05,2940.03,2856.84,2859.96,-1.87 %,"8,362,671,680.50"
2021-06-22,NEPSE,2844.7,2914.43,2824.04,2913.84,2.79 %,"10,286,269,957.00"
2021-06-21,NEPSE,2924.07,2924.48,2828.62,2834.41,-2.45 %,"11,619,035,673.50"
2021-06-20,NEPSE,2975.25,2980.27,2880.57,2905.32,-2.20 %,"11,819,428,288.50"
2021-06-17,NEPSE,2982.97,2990.01,2944.89,2968.42,-0.11 %,"10,904,958,935.00"
2021-06-16,NEPSE,2989.55,3031.73,2943.3,2969.72,-1.86 %,"15,484,479,318.50"
2021-06-15,NEPSE,3061.81,3064.07,3012.95,3022.11,-0.22 %,"16,528,749,738.50"
2021-06-14,NEPSE,3009.46,3051.02,3009.15,3025.83,1.39 %,"18,884,031,518.50"
2021-06-13,NEPSE,2965.77,2984.24,2957.13,2983.11,1.23 %,"19,550,166,636.00"
2021-06-10,NEPSE,2968.09,2971.89,2925.74,2944.78,-0.07 %,"16,100,412,435.50"
2021-06-09,NEPSE,2995.08,3005.9,2933.62,2946.58,-0.52 %,"16,997,092,703.41"
2021-06-08,NEPSE,2931.18,2960.29,2925.49,2960.14,1.84 %,"16,951,320,640.00"
2021-06-07,NEPSE,2928.09,2933.54,2892.23,2906.7,-0.00 %,"15,818,659,062.50"
2021-06-06,NEPSE,2884.07,2920.21,2880.47,2906.91,1.72 %,"17,271,787,524.50"
2021-06-03,NEPSE,2833.84,2876.11,2833.63,2856.77,1.00 %,"16,907,020,286.00"
2021-06-02,NEPSE,2793.22,2827.29,2770.83,2827.13,1.86 %,"11,351,815,356.00"
2021-06-01,NEPSE,2790.72,2799.85,2751.65,2771.15,-0.51 %,"8,598,160,117.00"
