Date,Symbol,Open,High,Low,Close,Percent Change,Volume
2022-01-31,NEPSE,2895.77,2909.13,2860.7,2871.05,-0.50 %,"5,154,177,598.09"
2022-01-30,NEPSE,2805.01,2885.62,2805.01,2885.53,3.80 %,"6,324,274,038.57"
2022-01-27,NEPSE,2778.89,2804.07,2776.74,2779.98,0.12 %,"3,343,413,684.03"
2022-01-26,NEPSE,2817.17,2819.74,2760.88,2776.65,-1.36 %,"4,313,154,042.17"
2022-01-25,NEPSE,2827.75,2857.91,2781.01,2815.06,0.20 %,"5,395,672,627.02"
2022-01-24,NEPSE,2926.12,2926.21,2803.72,2820.65,-3.42 %,"8,888,513,177.57"
2022-01-23,NEPSE,2942.97,2962.44,2906.19,2920.51,-0.37 %,"7,030,508,262.97"
2022-01-20,NEPSE,2901.51,2936.58,2884.0,2931.34,1.14 %,"5,773,120,409.18"
2022-01-19,NEPSE,2945.63,2952.57,2889.18,2898.31,-1.31 %,"6,021,311,881.03"
2022-01-18,NEPSE,2953.11,2981.92,2915.56,2936.66,-0.37 %,"8,443,419,561.86"
2022-01-17,NEPSE,2944.92,2956.11,2907.19,2947.38,0.71 %,"7,901,890,668.04"
2022-01-16,NEPSE,2873.42,2940.13,2873.41,2926.74,2.41 %,"9,676,317,059.06"
2022-01-13,NEPSE,2808.8,2858.2,2802.49,2857.75,1.93 %,"6,669,748,567.76"
2022-01-12,NEPSE,2839.87,2874.89,2796.61,2803.62,-1.08 %,"8,033,212,742.00"
2022-01-11,NEPSE,2792.64,2848.26,2771.15,2834.13,1.77 %,"6,724,526,197.51"
2022-01-10,NEPSE,2772.09,2806.74,2755.79,2784.95,0.70 %,"7,123,424,035.13"
2022-01-09,NEPSE,2699.88,2770.55,2699.88,2765.47,2.71 %,"7,101,831,591.11"
2022-01-06,NEPSE,2647.76,2692.76,2633.31,2692.47,1.63 %,"3,676,846,349.30"
2022-01-05,NEPSE,2687.75,2700.29,2640.97,2649.2,-1.15 %,"4,621,598,582.71"
2022-01-04,NEPSE,2619.22,2679.95,2593.9,2679.95,2.30 %,"4,320,269,827.53"
2022-01-03,NEPSE,2595.22,2634.86,2593.92,2616.94,1.12 %,"4,533,017,178.58"
2022-01-02,NEPSE,2538.25,2585.01,2528.75,2584.91,2.39 %,"4,126,980,067.53"
