Date,Symbol,Open,High,Low,Close,Percent Change,Volume
2022-11-30,NEPSE,1953.07,1955.6,1942.95,1949.85,-0.18 %,"842,695,301.99"
2022-11-29,NEPSE,1951.31,1957.88,1933.64,1953.35,0.15 %,"957,060,225.96"
2022-11-28,NEPSE,1968.93,1980.26,1947.37,1950.37,-0.79 %,"1,494,394,613.66"
2022-11-27,NEPSE,1934.45,1965.98,1934.41,1965.98,1.68 %,"2,025,489,052.14"
2022-11-24,NEPSE,1922.72,1933.55,1916.35,1933.55,0.60 %,"925,174,380.45"
2022-11-23,NEPSE,1931.01,1933.93,1913.09,1921.99,-0.40 %,"1,022,293,552.83"
2022-11-22,NEPSE,1938.47,1961.28,1926.39,1929.7,-0.37 %,"1,352,885,779.65"
2022-11-17,NEPSE,1912.24,1939.59,1912.04,1936.83,1.34 %,"1,715,419,286.42"
2022-11-16,NEPSE,1898.7,1914.38,1898.7,1911.26,0.71 %,"859,468,158.30"
2022-11-15,NEPSE,1905.21,1919.8,1895.89,1897.86,-0.35 %,"1,023,609,960.42"
2022-11-14,NEPSE,1883.58,1904.5,1879.36,1904.45,1.13 %,"26,168,768.70"
2022-11-13,NEPSE,1892.94,1901.31,1879.58,1883.16,-0.56 %,"774,911,706.65"
2022-11-10,NEPSE,1919.1,1929.01,1889.64,1893.7,-1.23 %,"1,119,461,411.40"
2022-11-09,NEPSE,1957.76,1967.8,1914.27,1917.22,-2.00 %,0.00
2022-11-08,NEPSE,1959.22,1966.41,1948.35,1956.36,-0.13 %,"1,053,137,466.97"
2022-11-07,NEPSE,1968.07,1987.32,1955.28,1958.94,-0.33 %,"2,109,163,383.69"
2022-11-06,NEPSE,1924.2,1965.7,1919.24,1965.36,2.25 %,"1,548,032,561.21"
2022-11-03,NEPSE,1939.5,1940.61,1918.84,1922.16,-0.83 %,"898,907,829.98"
2022-11-02,NEPSE,1933.24,1956.61,1916.32,1938.3,0.38 %,"1,467,914,875.04"
2022-11-01,NEPSE,1876.55,1931.54,1871.77,1930.99,2.99 %,"1,290,664,641.80"
