Date,Symbol,Open,High,Low,Close,Percent Change,Volume
2022-06-30,NEPSE,1966.86,2037.64,1966.85,2037.64,3.82 %,"2,458,619,494.89"
2022-06-29,NEPSE,1924.91,1963.77,1915.19,1962.71,2.15 %,"1,431,400,640.64"
2022-06-28,NEPSE,1935.54,1936.01,1908.74,1921.31,-0.61 %,"1,058,263,522.26"
2022-06-27,NEPSE,1967.3,1987.59,1931.17,1933.13,-1.22 %,"2,044,831,947.71"
2022-06-26,NEPSE,1863.47,1957.09,1863.43,1956.98,5.10 %,"2,196,141,848.83"
2022-06-24,NEPSE,1848.38,1879.45,1806.95,1862.06,0.75 %,"1,151,208,031.19"
2022-06-23,NEPSE,1889.4,1889.4,1835.88,1848.28,-2.39 %,"1,499,709,634.92"
2022-06-22,NEPSE,1925.46,1926.99,1889.7,1893.53,-1.62 %,"843,773,459.03"
2022-06-21,NEPSE,1884.25,1931.91,1877.8,1924.74,2.12 %,"1,253,757,714.92"
2022-06-20,NEPSE,1934.03,1934.64,1879.69,1884.81,-2.55 %,"1,750,600,171.42"
2022-06-19,NEPSE,1971.84,1974.22,1928.19,1934.11,-1.89 %,"1,134,091,212.36"
2022-06-17,NEPSE,1981.21,1991.58,1966.85,1971.36,-0.38 %,"736,312,157.99"
2022-06-16,NEPSE,1966.89,1993.95,1950.76,1978.94,0.64 %,"1,187,145,518.65"
2022-06-15,NEPSE,1999.05,1999.08,1945.42,1966.37,-1.50 %,"1,491,758,817.38"
2022-06-14,NEPSE,2032.53,2034.81,1990.32,1996.26,-1.78 %,"1,185,546,179.44"
2022-06-13,NEPSE,2049.31,2052.47,2027.05,2032.34,-0.77 %,"998,674,262.44"
2022-06-10,NEPSE,2067.76,2070.01,2036.55,2048.16,-0.71 %,"894,124,114.10"
2022-06-09,NEPSE,2082.45,2115.6,2058.28,2062.8,-0.85 %,"1,472,690,554.25"
2022-06-08,NEPSE,2019.54,2096.18,2017.25,2080.44,2.98 %,"1,640,356,608.05"
2022-06-07,NEPSE,2065.19,2065.19,2016.78,2020.23,-2.21 %,"1,312,806,562.65"
2022-06-06,NEPSE,2079.6,2093.95,2054.13,2065.82,-0.62 %,"1,273,385,276.83"
2022-06-03,NEPSE,2113.13,2117.4,2071.93,2078.7,-1.60 %,"1,307,359,540.81"
2022-06-02,NEPSE,2130.35,2142.65,2107.77,2112.47,-0.86 %,"1,161,514,168.66"
2022-06-01,NEPSE,2138.06,2154.58,2119.41,2130.71,-0.34 %,"1,078,484,181.95"
