Date,Symbol,Open,High,Low,Close,Percent Change,Volume
2022-10-31,NEPSE,1860.39,1874.88,1856.93,1874.87,0.88 %,"10,864,364.15"
2022-10-23,NEPSE,1844.5,1858.57,1843.8,1858.49,0.78 %,"516,803,483.60"
2022-10-20,NEPSE,1845.38,1849.86,1834.31,1844.14,-0.07 %,"507,689,560.53"
2022-10-19,NEPSE,1858.03,1861.93,1840.5,1845.51,-0.69 %,"643,607,975.26"
2022-10-17,NEPSE,1861.55,1864.74,1854.24,1858.33,-0.14 %,"515,818,989.83"
2022-10-16,NEPSE,1871.09,1872.52,1852.74,1860.94,-0.52 %,"803,525,533.18"
2022-10-13,NEPSE,1866.54,1878.16,1860.85,1870.63,0.22 %,"829,646,920.43"
2022-10-12,NEPSE,1854.57,1872.86,1848.13,1866.48,0.61 %,"691,737,893.98"
2022-10-11,NEPSE,1871.28,1871.28,1849.8,1855.16,-0.86 %,"552,809,984.50"
2022-10-10,NEPSE,1901.25,1908.58,1866.83,1871.22,-1.43 %,"971,767,714.44"
2022-10-09,NEPSE,1854.57,1898.45,1854.542,1898.38,2.41 %,"32,308,156.10"
