Date,Symbol,Open,High,Low,Close,Percent Change,Volume
2022-04-28,NEPSE,2380.16,2390.27,2351.48,2356.17,-0.84 %,"1,496,246,808.20"
2022-04-27,NEPSE,2373.1,2376.63,2348.57,2376.17,0.22 %,"1,089,992,035.93"
2022-04-26,NEPSE,2386.04,2402.23,2358.76,2370.99,-0.63 %,"1,046,014,417.21"
2022-04-25,NEPSE,2423.74,2444.55,2381.93,2386.01,-1.44 %,"2,042,253,182.30"
2022-04-24,NEPSE,2331.51,2430.28,2331.51,2420.91,4.11 %,"2,531,275,592.85"
2022-04-21,NEPSE,2327.08,2333.93,2286.6,2325.45,0.21 %,"1,629,168,847.90"
2022-04-20,NEPSE,2364.47,2367.25,2316.69,2320.51,-1.56 %,"1,458,737,755.46"
2022-04-19,NEPSE,2347.21,2372.32,2314.42,2357.24,0.57 %,"1,326,865,931.84"
2022-04-18,NEPSE,2386.66,2387.51,2341.92,2343.87,-1.75 %,"1,530,692,955.68"
2022-04-17,NEPSE,2422.34,2437.67,2379.53,2385.64,-1.23 %,"1,440,723,182.32"
2022-04-13,NEPSE,2385.24,2415.35,2366.94,2415.24,1.27 %,"1,476,318,104.45"
2022-04-12,NEPSE,2424.71,2428.8,2379.48,2385.02,-1.44 %,"1,524,364,418.11"
2022-04-11,NEPSE,2471.81,2510.13,2415.9,2419.71,-1.81 %,"2,260,786,628.14"
2022-04-07,NEPSE,2427.97,2476.37,2427.71,2464.31,1.47 %,"2,121,511,279.53"
2022-04-06,NEPSE,2451.81,2458.35,2416.38,2428.75,-0.95 %,"1,995,964,384.22"
2022-04-05,NEPSE,2507.77,2507.77,2434.27,2452.06,-1.86 %,"2,671,232,388.39"
2022-04-04,NEPSE,2517.41,2525.54,2495.84,2497.47,-0.63 %,"1,584,671,562.02"
2022-04-03,NEPSE,2544.48,2547.04,2509.76,2513.41,-1.21 %,"1,460,773,729.18"
