Date,Symbol,Open,High,Low,Close,Percent Change,Volume
2022-09-29,NEPSE,1836.84,1853.8,1835.95,1853.76,0.89 %,"18,117,759.15"
2022-09-28,NEPSE,1831.24,1845.69,1831.23,1837.46,0.35 %,"485,408,767.82"
2022-09-27,NEPSE,1814.71,1842.05,1814.68,1831.05,0.88 %,"663,013,000.45"
2022-09-25,NEPSE,1838.0,1838.67,1811.32,1815.13,-1.30 %,"1,072,480,097.24"
2022-09-22,NEPSE,1848.79,1856.02,1836.17,1838.96,-0.53 %,"655,705,169.42"
2022-09-21,NEPSE,1838.4,1862.48,1838.14,1848.82,0.61 %,"11,527,067.90"
2022-09-20,NEPSE,1875.41,1877.65,1833.55,1837.6,-2.07 %,"1,229,669,722.27"
2022-09-18,NEPSE,1910.2,1911.57,1874.14,1876.41,-1.78 %,"1,601,822,954.98"
2022-09-16,NEPSE,1921.05,1921.05,1886.72,1910.38,-0.73 %,"908,186,487.98"
2022-09-15,NEPSE,1983.26,1989.84,1920.38,1924.48,-2.88 %,"2,125,655,787.39"
2022-09-14,NEPSE,1936.37,1984.12,1936.34,1981.48,2.45 %,"1,453,824,649.96"
2022-09-13,NEPSE,1913.41,1940.85,1913.2,1934.04,1.11 %,"922,574,409.66"
2022-09-12,NEPSE,1926.45,1928.71,1906.75,1912.74,-0.70 %,"831,603,650.57"
2022-09-11,NEPSE,1938.2,1946.42,1922.0,1926.28,-0.59 %,"747,226,625.36"
2022-09-08,NEPSE,1940.19,1947.91,1925.22,1937.74,-0.11 %,"1,044,440,646.77"
2022-09-07,NEPSE,1951.21,1955.97,1933.29,1939.88,-0.61 %,"826,230,582.90"
2022-09-06,NEPSE,1974.13,1978.0,1947.21,1951.79,-1.08 %,"23,520,909.40"
2022-09-05,NEPSE,1978.3,1987.57,1970.68,1973.01,-0.22 %,"909,904,751.02"
2022-09-04,NEPSE,1971.86,1988.38,1969.48,1977.3,0.34 %,"1,071,615,922.48"
2022-09-02,NEPSE,1970.78,1984.88,1964.8,1970.62,-0.08 %,"698,805,950.93"
2022-09-01,NEPSE,1972.98,1982.34,1953.58,1972.29,-0.05 %,"1,383,462,162.06"
