Date,Symbol,Open,High,Low,Close,Percent Change,Volume
2023-10-31,NEPSE,1878.29,1878.98,1860.47,1864.4,-0.76 %,"571,483,276.48"
2023-10-30,NEPSE,1876.47,1878.83,1856.9,1878.7,0.16 %,"694,222,217.37"
2023-10-29,NEPSE,1903.59,1903.91,1867.09,1875.65,-1.48 %,"742,925,392.56"
2023-10-19,NEPSE,1908.66,1915.98,1893.94,1903.84,-0.21 %,"970,612,892.03"
2023-10-18,NEPSE,1864.28,1908.4,1864.25,1907.89,2.32 %,"934,894,218.15"
2023-10-17,NEPSE,1851.18,1884.67,1851.03,1864.62,0.71 %,"1,008,437,860.61"
2023-10-16,NEPSE,1874.13,1876.62,1846.79,1851.43,-1.23 %,"1,253,291,070.96"
2023-10-12,NEPSE,1896.18,1897.6,1870.19,1874.6,-1.20 %,"1,700,129,815.00"
2023-10-11,NEPSE,1890.04,1905.05,1884.4,1894.76,0.27 %,"1,088,547,980.13"
2023-10-10,NEPSE,1908.29,1913.58,1885.37,1889.59,-0.99 %,"1,283,182,145.32"
2023-10-09,NEPSE,1919.97,1926.72,1902.87,1908.66,-0.65 %,"1,170,172,722.08"
2023-10-08,NEPSE,1963.8,1964.02,1917.69,1921.24,-1.82 %,"1,801,766,294.08"
2023-10-05,NEPSE,1967.58,1970.15,1954.02,1956.92,-0.56 %,"1,106,519,418.20"
2023-10-04,NEPSE,1958.87,1976.19,1957.23,1967.97,0.47 %,"1,189,931,385.37"
2023-10-03,NEPSE,1977.83,1978.27,1954.13,1958.72,-0.88 %,"1,199,101,324.81"
2023-10-02,NEPSE,1970.28,1982.51,1954.35,1976.29,0.26 %,"1,737,314,092.32"
2023-10-01,NEPSE,2004.58,2005.32,1964.44,1971.1,-1.65 %,"1,830,486,743.11"
