Date,Symbol,Open,High,Low,Close,Percent Change,Volume
2023-12-28,NEPSE,2072.09,2085.36,2059.49,2068.9,-0.09 %,"4,290,932,297.60"
2023-12-27,NEPSE,2089.89,2109.35,2055.35,2070.84,-0.82 %,"5,248,782,611.37"
2023-12-24,NEPSE,2113.69,2132.63,2082.93,2088.07,-0.99 %,"7,111,733,829.80"
2023-12-21,NEPSE,2148.16,2154.51,2102.79,2109.1,-1.53 %,"6,274,324,811.90"
2023-12-20,NEPSE,2113.94,2150.98,2110.76,2141.87,1.68 %,"7,009,575,176.13"
2023-12-19,NEPSE,2065.06,2107.32,2053.27,2106.48,2.23 %,"5,984,699,175.73"
2023-12-18,NEPSE,2025.73,2070.59,2025.68,2060.49,1.88 %,"6,868,177,565.83"
2023-12-17,NEPSE,1986.06,2022.82,1951.02,2022.35,1.39 %,"5,157,846,979.05"
2023-12-14,NEPSE,1989.53,1997.12,1973.42,1994.6,0.32 %,"3,151,635,750.12"
2023-12-13,NEPSE,1990.36,2017.22,1976.04,1988.04,0.13 %,"3,909,198,570.27"
2023-12-12,NEPSE,1952.19,1990.39,1940.15,1985.44,1.89 %,"4,309,019,196.26"
2023-12-11,NEPSE,1989.54,1989.71,1928.76,1948.57,-0.78 %,"4,842,774,386.84"
2023-12-10,NEPSE,1866.12,1963.98,1866.12,1963.98,6.00 %,"482,482,239.14"
2023-12-07,NEPSE,1840.42,1861.22,1834.64,1852.77,0.63 %,"2,799,146,433.95"
2023-12-06,NEPSE,1837.24,1841.8,1830.31,1841.04,0.18 %,"1,141,812,382.78"
2023-12-05,NEPSE,1849.01,1857.35,1833.02,1837.71,-0.54 %,"1,544,935,438.34"
2023-12-04,NEPSE,1848.71,1859.32,1843.37,1847.81,-0.18 %,"1,197,257,894.69"
2023-12-03,NEPSE,1858.47,1861.67,1837.85,1851.23,-0.39 %,"964,010,431.27"
