Date,Symbol,Open,High,Low,Close,Percent Change,Volume
2023-08-30,NEPSE,1994.63,2001.72,1985.1,1990.59,-0.14 %,"1,130,008,041.15"
2023-08-29,NEPSE,1999.01,2002.81,1988.51,1993.42,-0.25 %,"865,120,452.40"
2023-08-28,NEPSE,1994.03,2009.7,1989.37,1998.48,0.25 %,"988,628,562.24"
2023-08-27,NEPSE,2014.21,2016.11,1989.22,1993.38,-1.02 %,"1,262,767,876.55"
2023-08-24,NEPSE,2045.86,2052.2,2009.09,2013.93,-1.54 %,"1,550,582,685.37"
2023-08-23,NEPSE,2016.8,2048.26,2015.8,2045.45,1.46 %,"1,510,488,984.60"
2023-08-22,NEPSE,1998.14,2016.18,1990.29,2015.98,0.88 %,"1,332,564,769.51"
2023-08-21,NEPSE,2012.46,2019.51,1991.81,1998.28,-0.64 %,"1,408,981,601.68"
2023-08-20,NEPSE,2033.2,2034.88,2008.03,2011.14,-1.08 %,"1,447,408,942.67"
2023-08-17,NEPSE,2025.98,2043.01,2025.4,2033.13,0.39 %,"1,541,367,398.79"
2023-08-16,NEPSE,2044.05,2044.05,2014.0,2025.12,-0.99 %,"1,679,980,623.09"
2023-08-15,NEPSE,2077.03,2078.76,2041.12,2045.44,-1.53 %,"2,157,312,369.51"
2023-08-14,NEPSE,2079.25,2094.04,2073.49,2077.24,-0.17 %,"2,091,390,638.30"
2023-08-13,NEPSE,2065.4,2087.93,2057.7,2080.86,0.71 %,"3,018,460,512.26"
2023-08-10,NEPSE,2058.96,2080.81,2045.98,2066.05,0.24 %,"2,156,583,945.68"
2023-08-09,NEPSE,2018.72,2061.08,2000.23,2060.91,2.03 %,"1,888,326,469.62"
2023-08-08,NEPSE,2047.72,2055.31,2013.37,2019.85,-1.38 %,"1,737,014,499.56"
2023-08-07,NEPSE,2051.57,2069.73,2030.19,2048.26,-0.15 %,"2,333,573,297.98"
2023-08-06,NEPSE,2095.43,2101.9,2041.69,2051.47,-1.83 %,"2,687,148,234.55"
2023-08-03,NEPSE,2088.56,2109.29,2083.92,2089.84,0.14 %,"1,781,941,701.81"
2023-08-02,NEPSE,2078.6,2086.84,2062.0,2086.84,0.44 %,"1,812,473,856.13"
2023-08-01,NEPSE,2106.06,2124.32,2070.33,2077.58,-1.35 %,"1,924,434,899.90"
