Date,Symbol,Open,High,Low,Close,Percent Change,Volume
2023-05-31,NEPSE,1884.49,1893.84,1844.32,1849.79,-2.06 %,"2,315,169,571.94"
2023-05-30,NEPSE,1944.03,1944.06,1884.91,1888.61,-2.74 %,"2,341,777,844.61"
2023-05-28,NEPSE,1960.95,1977.57,1938.12,1941.74,-0.89 %,"2,639,659,499.70"
2023-05-24,NEPSE,1943.81,1962.66,1928.16,1959.12,0.85 %,"1,873,018,024.09"
2023-05-23,NEPSE,1891.37,1942.64,1891.37,1942.63,2.71 %,"2,200,023,945.87"
2023-05-22,NEPSE,1883.45,1898.91,1866.08,1891.31,0.43 %,"1,278,704,726.38"
2023-05-21,NEPSE,1878.68,1903.06,1874.4,1883.2,0.31 %,"1,600,492,731.53"
2023-05-18,NEPSE,1846.69,1883.2,1844.5,1877.32,1.75 %,"1,474,765,388.21"
2023-05-17,NEPSE,1821.54,1846.72,1821.02,1845.01,1.28 %,"857,624,318.46"
2023-05-16,NEPSE,1817.87,1827.77,1810.1,1821.6,0.18 %,"640,117,260.52"
2023-05-15,NEPSE,1821.81,1826.65,1807.53,1818.31,-0.18 %,"724,969,980.40"
2023-05-14,NEPSE,1840.82,1849.56,1818.08,1821.64,-0.92 %,"900,563,856.25"
2023-05-11,NEPSE,1840.05,1843.44,1831.2,1838.59,-0.18 %,"578,841,593.52"
2023-05-10,NEPSE,1845.64,1852.05,1835.61,1841.93,-0.13 %,"589,100,077.12"
2023-05-09,NEPSE,1831.64,1856.07,1828.99,1844.36,0.58 %,"774,760,647.07"
2023-05-08,NEPSE,1850.73,1854.21,1825.61,1833.69,-0.91 %,"824,217,001.85"
2023-05-07,NEPSE,1870.41,1872.22,1848.8,1850.61,-1.02 %,"608,135,094.13"
2023-05-04,NEPSE,1856.97,1875.26,1846.67,1869.73,0.69 %,"732,689,811.89"
2023-05-03,NEPSE,1866.6846,1868.35,1852.35,1857.23,-0.49 %,"620,266,016.88"
2023-05-02,NEPSE,1871.63,1878.96,1860.43,1866.4,-0.23 %,"692,271,755.19"
