Date,Symbol,Open,High,Low,Close,Percent Change,Volume
2022-02-28,NEPSE,2662.26,2683.75,2606.62,2610.6,-1.62 %,"3,660,189,867.56"
2022-02-27,NEPSE,2660.39,2680.39,2638.01,2653.7,-0.29 %,"3,273,065,909.76"
2022-02-24,NEPSE,2715.44,2715.82,2654.37,2661.44,-2.17 %,"4,293,864,191.66"
2022-02-23,NEPSE,2732.48,2747.56,2715.91,2720.43,-0.57 %,"3,131,210,281.89"
2022-02-22,NEPSE,2719.89,2750.3,2719.88,2735.93,0.64 %,"3,212,887,822.12"
2022-02-21,NEPSE,2695.26,2719.07,2693.83,2718.51,0.94 %,"2,997,681,072.21"
2022-02-20,NEPSE,2713.52,2715.82,2669.32,2693.1,-1.44 %,"4,086,474,828.32"
2022-02-17,NEPSE,2735.33,2745.37,2723.17,2732.52,-0.07 %,"2,278,173,660.06"
2022-02-16,NEPSE,2759.37,2772.11,2725.16,2734.44,-0.72 %,"3,026,330,784.14"
2022-02-15,NEPSE,2703.35,2754.5,2703.27,2754.29,1.97 %,"3,233,318,614.48"
2022-02-14,NEPSE,2697.37,2729.26,2694.31,2700.98,0.00 %,"3,684,009,915.07"
2022-02-13,NEPSE,2783.89,2784.19,2696.65,2700.89,-3.59 %,"5,977,214,730.64"
2022-02-10,NEPSE,2813.33,2825.34,2790.9,2801.56,-0.43 %,"3,829,533,349.64"
2022-02-09,NEPSE,2837.33,2837.35,2799.96,2813.52,-0.78 %,"3,471,109,182.03"
2022-02-08,NEPSE,2877.58,2921.35,2825.96,2835.58,-0.57 %,"6,287,217,985.34"
2022-02-07,NEPSE,2834.26,2853.78,2822.52,2851.86,0.49 %,"5,022,017,180.72"
2022-02-06,NEPSE,2877.04,2877.04,2829.1,2836.17,-1.41 %,"5,836,414,510.47"
2022-02-03,NEPSE,2898.61,2925.05,2870.64,2876.74,-0.50 %,"8,612,174,162.02"
2022-02-01,NEPSE,2875.74,2897.18,2855.95,2891.3,0.67 %,"6,574,842,418.11"
