Date,Symbol,Open,High,Low,Close,Percent Change,Volume
2022-08-31,NEPSE,1993.38,1996.89,1968.41,1973.38,-1.10 %,"1,126,217,861.98"
2022-08-30,NEPSE,1993.47,2012.18,1987.39,1995.21,0.11 %,"1,019,516,696.19"
2022-08-29,NEPSE,1989.37,1995.78,1975.07,1993.02,0.19 %,"1,266,619,150.42"
2022-08-28,NEPSE,2022.32,2022.76,1987.04,1989.26,-1.65 %,"2,059,737,103.36"
2022-08-26,NEPSE,2040.47,2040.46,2018.18,2022.62,-0.83 %,"1,294,832,820.01"
2022-08-25,NEPSE,2058.01,2068.55,2035.69,2039.55,-0.89 %,"1,717,469,670.13"
2022-08-24,NEPSE,2054.99,2073.54,2052.13,2057.85,0.14 %,"1,526,186,217.86"
2022-08-23,NEPSE,2053.35,2060.21,2048.8,2054.95,0.09 %,"1,333,560,857.30"
2022-08-22,NEPSE,2061.03,2065.81,2043.72,2053.13,-0.36 %,"1,726,287,429.59"
2022-08-21,NEPSE,2070.06,2089.25,2055.78,2060.55,-0.37 %,"2,047,093,688.57"
2022-08-18,NEPSE,2041.71,2072.37,2041.71,2068.26,1.35 %,"2,057,980,056.55"
2022-08-17,NEPSE,2043.62,2053.09,2035.38,2040.7,-0.02 %,"1,405,974,256.30"
2022-08-16,NEPSE,2069.38,2088.23,2035.47,2041.06,-1.20 %,"2,734,853,057.66"
2022-08-15,NEPSE,2007.19,2065.9,2007.19,2065.89,2.78 %,"2,432,984,611.90"
2022-08-14,NEPSE,2035.32,2043.03,2007.68,2010.01,-1.37 %,"1,873,281,897.06"
2022-08-11,NEPSE,2059.83,2074.73,2036.8,2037.92,-0.92 %,"1,761,023,038.84"
2022-08-10,NEPSE,2064.39,2074.92,2042.62,2056.88,-0.29 %,"1,935,520,146.52"
2022-08-09,NEPSE,2109.79,2112.71,2060.31,2062.8,-2.06 %,"2,815,144,598.32"
2022-08-08,NEPSE,2128.19,2140.26,2102.25,2106.15,-0.83 %,"2,857,072,961.40"
2022-08-07,NEPSE,2109.41,2133.62,2107.49,2123.82,0.49 %,"2,673,338,232.36"
2022-08-05,NEPSE,2150.47,2150.58,2108.34,2113.3,-1.62 %,"2,626,154,947.80"
2022-08-04,NEPSE,2191.49,2193.35,2147.7,2148.16,-1.77 %,"3,768,079,173.01"
2022-08-03,NEPSE,2196.13,2214.05,2183.09,2186.77,-0.31 %,"4,029,931,439.76"
2022-08-02,NEPSE,2198.06,2202.88,2170.25,2193.43,-0.13 %,"3,293,234,705.73"
2022-08-01,NEPSE,2205.77,2224.48,2183.22,2196.25,0.05 %,"4,670,798,756.40"
