Date,Symbol,Open,High,Low,Close,Percent Change,Volume
2022-05-31,NEPSE,2172.02,2172.01,2126.39,2137.92,-1.63 %,"1,317,699,089.63"
2022-05-30,NEPSE,2227.43,2233.54,2173.44,2173.44,-2.26 %,"1,338,856,282.37"
2022-05-27,NEPSE,2242.46,2250.69,2214.64,2223.78,-0.71 %,"1,298,905,589.58"
2022-05-26,NEPSE,2240.61,2245.42,2222.89,2239.6,0.36 %,"889,834,908.60"
2022-05-25,NEPSE,2222.49,2243.57,2222.01,2231.57,0.65 %,"1,044,626,939.46"
2022-05-24,NEPSE,2203.14,2227.87,2190.52,2217.19,0.74 %,"1,088,833,541.73"
2022-05-23,NEPSE,2241.26,2249.62,2191.03,2200.88,-1.53 %,"1,369,513,191.50"
2022-05-20,NEPSE,2251.49,2258.51,2231.33,2235.09,-0.70 %,"932,206,084.34"
2022-05-19,NEPSE,2274.8,2282.88,2247.6,2250.91,-1.03 %,"1,300,981,996.44"
2022-05-18,NEPSE,2262.99,2281.96,2237.98,2274.42,0.39 %,"1,326,320,346.01"
2022-05-17,NEPSE,2350.43,2350.43,2263.3,2265.52,-3.61 %,"1,644,096,192.86"
2022-05-12,NEPSE,2373.38,2389.07,2343.33,2350.42,-0.79 %,"2,328,434,272.93"
2022-05-11,NEPSE,2313.28,2369.17,2313.28,2369.06,2.42 %,"2,163,990,743.33"
2022-05-10,NEPSE,2269.36,2314.63,2268.76,2313.0,1.95 %,"1,356,687,468.50"
2022-05-09,NEPSE,2263.06,2289.84,2255.45,2268.84,0.54 %,"1,390,607,701.94"
2022-05-08,NEPSE,2238.81,2256.64,2204.37,2256.57,0.80 %,"1,326,421,671.70"
2022-05-05,NEPSE,2275.43,2275.42,2225.79,2238.62,-1.63 %,"1,654,561,472.54"
2022-05-04,NEPSE,2310.51,2312.07,2269.73,2275.68,-1.38 %,"1,269,219,421.49"
2022-05-02,NEPSE,2358.24,2359.4,2303.26,2307.44,-2.07 %,"1,423,498,292.37"
