Date,Symbol,Open,High,Low,Close,Percent Change,Volume
2021-11-30,NEPSE,2630.32,2648.04,2603.9,2628.37,-0.06 %,"3,089,041,990.69"
2021-11-29,NEPSE,2650.54,2677.87,2621.8,2629.98,-0.81 %,"4,008,937,133.19"
2021-11-28,NEPSE,2731.78,2733.35,2644.6,2651.49,-2.94 %,"5,835,135,054.76"
2021-11-25,NEPSE,2736.85,2746.55,2720.84,2731.78,-0.12 %,"3,789,709,330.90"
2021-11-24,NEPSE,2737.09,2743.22,2694.06,2735.01,0.07 %,"4,217,415,336.52"
2021-11-23,NEPSE,2765.68,2765.68,2719.99,2733.14,-1.17 %,"4,165,896,577.73"
2021-11-22,NEPSE,2758.99,2778.28,2758.64,2765.44,0.29 %,"3,929,261,627.44"
2021-11-21,NEPSE,2771.76,2780.04,2749.83,2757.53,-0.42 %,"4,357,309,319.33"
2021-11-18,NEPSE,2806.13,2810.64,2760.2,2769.13,-1.16 %,"6,271,867,229.84"
2021-11-17,NEPSE,2795.19,2825.98,2795.19,2801.52,0.61 %,"7,379,446,819.65"
2021-11-16,NEPSE,2720.59,2784.63,2716.0,2784.58,2.55 %,"5,521,650,856.75"
2021-11-15,NEPSE,2688.06,2728.91,2685.67,2715.35,0.98 %,"4,734,651,443.84"
2021-11-14,NEPSE,2694.05,2704.47,2667.34,2688.92,-0.05 %,"4,096,219,525.40"
2021-11-11,NEPSE,2750.03,2750.28,2687.68,2690.29,-2.17 %,"5,119,602,539.69"
2021-11-09,NEPSE,2831.0,2833.05,2730.21,2749.86,-2.82 %,"6,527,729,547.47"
2021-11-08,NEPSE,2854.38,2863.8,2821.64,2829.65,-0.86 %,"4,420,719,103.13"
2021-11-03,NEPSE,2858.74,2878.2,2837.59,2848.84,-0.01 %,"6,553,059,152.26"
2021-11-02,NEPSE,2824.83,2845.89,2789.2,2843.62,0.73 %,"6,073,716,888.38"
2021-11-01,NEPSE,2852.32,2866.44,2804.31,2819.87,-0.87 %,"7,777,510,777.74"
